field,label,description,temporal,category,subcategory,identifier
73562-1,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/mass] in Meconium by Confirmatory method","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/mass] in Meconium by Confirmatory method",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
72385-8,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Saliva (oral fluid) by Confirmatory method","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Saliva (oral fluid) by Confirmatory method",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
60071-8,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Serum or Plasma","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Serum or Plasma",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
50542-0,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Urine","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Urine",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
58429-2,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Urine by Confirmatory method","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Urine by Confirmatory method",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
61076-6,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Gastric fluid","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Gastric fluid",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
72386-6,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Saliva (oral fluid) by Confirmatory method","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Saliva (oral fluid) by Confirmatory method",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
41860-8,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Serum or Plasma","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Serum or Plasma",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
41859-0,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Unspecified specimen","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Unspecified specimen",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
41858-2,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
58428-4,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine by Confirmatory method","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine by Confirmatory method",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
49810-5,2-Hydroxy-3-Methylvalerate/Creatinine [Molar ratio] in 24 hour Urine,2-Hydroxy-3-Methylvalerate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Hydroxy-3-Methylvalerate/Creatinine|SRto|Urine,0
29505-5,2-Hydroxy-3-Methylvalerate/Creatinine [Molar ratio] in Urine,2-Hydroxy-3-Methylvalerate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Hydroxy-3-Methylvalerate/Creatinine|SRto|Urine,0
49811-3,2-Hydroxyadipate/Creatinine [Molar ratio] in 24 hour Urine,2-Hydroxyadipate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Hydroxyadipate/Creatinine|SRto|Urine,0
29500-6,2-Hydroxyadipate/Creatinine [Molar ratio] in Urine,2-Hydroxyadipate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Hydroxyadipate/Creatinine|SRto|Urine,0
49812-1,2-Hydroxyglutarate/Creatinine [Molar ratio] in 24 hour Urine,2-Hydroxyglutarate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Hydroxyglutarate/Creatinine|SRto|Urine,0
29502-2,2-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,2-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Hydroxyglutarate/Creatinine|SRto|Urine,0
43635-2,2-Hydroxyglutarate [Presence] in 24 hour Urine,2-Hydroxyglutarate [Presence] in 24 hour Urine,1,Laboratory,2-Hydroxyglutarate|PrThr|Urine,0
29881-0,2-Hydroxyglutarate [Presence] in Urine,2-Hydroxyglutarate [Presence] in Urine,1,Laboratory,2-Hydroxyglutarate|PrThr|Urine,0
44282-2,2-Hydroxyisocaproate/Creatinine [Mass Ratio] in 24 hour Urine,2-Hydroxyisocaproate/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,2-Hydroxyisocaproate/Creatinine|MRto|Urine,0
13673-9,2-Hydroxyisocaproate/Creatinine [Mass Ratio] in Urine,2-Hydroxyisocaproate/Creatinine [Mass Ratio] in Urine,1,Laboratory,2-Hydroxyisocaproate/Creatinine|MRto|Urine,0
49813-9,2-Hydroxyisocaproate/Creatinine [Molar ratio] in 24 hour Urine,2-Hydroxyisocaproate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Hydroxyisocaproate/Creatinine|SRto|Urine,0
29503-0,2-Hydroxyisocaproate/Creatinine [Molar ratio] in Urine,2-Hydroxyisocaproate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Hydroxyisocaproate/Creatinine|SRto|Urine,0
49814-7,2-Hydroxyisovalerate/Creatinine [Molar ratio] in 24 hour Urine,2-Hydroxyisovalerate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Hydroxyisovalerate/Creatinine|SRto|Urine,0
29504-8,2-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,2-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Hydroxyisovalerate/Creatinine|SRto|Urine,0
49815-4,2-methyl-3-hydroxybutyrate (C5-OH)/Creatinine [Molar ratio] in 24 hour Urine,2-methyl-3-hydroxybutyrate (C5-OH)/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Methyl-3-Hydroxybutyrate/Creatinine|SRto|Urine,0
25082-9,2-methyl-3-hydroxybutyrate (C5-OH)/Creatinine [Molar ratio] in Urine,2-methyl-3-hydroxybutyrate (C5-OH)/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Methyl-3-Hydroxybutyrate/Creatinine|SRto|Urine,0
44284-8,2-Methylcitrate/Creatinine [Molar ratio] in 24 hour Urine,2-Methylcitrate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Methylcitrate/Creatinine|SRto|Urine,0
25114-0,2-Methylcitrate/Creatinine [Molar ratio] in Urine,2-Methylcitrate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Methylcitrate/Creatinine|SRto|Urine,0
49816-2,"2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in 24 hour Urine","2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in 24 hour Urine",1,Laboratory,"2-Oxo,3-Methylvalerate/Creatinine|SRto|Urine",0
25083-7,"2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in Urine","2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in Urine",1,Laboratory,"2-Oxo,3-Methylvalerate/Creatinine|SRto|Urine",0
49817-0,2-Oxoisocaproate/Creatinine [Molar ratio] in 24 hour Urine,2-Oxoisocaproate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Oxoisocaproate/Creatinine|SRto|Urine,0
25084-5,2-Oxoisocaproate/Creatinine [Molar ratio] in Urine,2-Oxoisocaproate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Oxoisocaproate/Creatinine|SRto|Urine,0
49818-8,2-Oxoisovalerate/Creatinine [Molar ratio] in 24 hour Urine,2-Oxoisovalerate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Oxoisovalerate/Creatinine|SRto|Urine,0
25085-2,2-Oxoisovalerate/Creatinine [Molar ratio] in Urine,2-Oxoisovalerate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Oxoisovalerate/Creatinine|SRto|Urine,0
82865-7,"3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone [Moles/volume] in 24 hour Urine","3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone [Moles/volume] in 24 hour Urine",1,Laboratory,"3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone|SCnc|Urine",0
82863-2,"3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone [Moles/volume] in Urine","3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone [Moles/volume] in Urine",1,Laboratory,"3 alpha, 15 beta, 17 alpha-Trihydroxypregnanediolone|SCnc|Urine",0
34224-6,3-Alpha-Androstanediol glucuronide [Moles/volume] in 24 hour Urine,3-Alpha-Androstanediol glucuronide [Moles/volume] in 24 hour Urine,1,Laboratory,3-Alpha-Androstanediol glucuronide|SCnc|Urine,0
34225-3,3-Alpha-Androstanediol glucuronide [Moles/volume] in Urine,3-Alpha-Androstanediol glucuronide [Moles/volume] in Urine,1,Laboratory,3-Alpha-Androstanediol glucuronide|SCnc|Urine,0
49820-4,3-Hydroxyadipate/Creatinine [Molar ratio] in 24 hour Urine,3-Hydroxyadipate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Hydroxyadipate/Creatinine|SRto|Urine,0
29508-9,3-Hydroxyadipate/Creatinine [Molar ratio] in Urine,3-Hydroxyadipate/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Hydroxyadipate/Creatinine|SRto|Urine,0
49821-2,3-Hydroxyglutarate/Creatinine [Molar ratio] in 24 hour Urine,3-Hydroxyglutarate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Hydroxyglutarate/Creatinine|SRto|Urine,0
29510-5,3-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,3-Hydroxyglutarate/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Hydroxyglutarate/Creatinine|SRto|Urine,0
49822-0,3-Hydroxyisobutyrate/Creatinine [Molar ratio] in 24 hour Urine,3-Hydroxyisobutyrate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Hydroxyisobutyrate/Creatinine|SRto|Urine,0
29511-3,3-Hydroxyisobutyrate/Creatinine [Molar ratio] in Urine,3-Hydroxyisobutyrate/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Hydroxyisobutyrate/Creatinine|SRto|Urine,0
49823-8,3-Hydroxyisovalerate/Creatinine [Molar ratio] in 24 hour Urine,3-Hydroxyisovalerate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Hydroxyisovalerate/Creatinine|SRto|Urine,0
29514-7,3-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,3-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Hydroxyisovalerate/Creatinine|SRto|Urine,0
41041-5,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Blood,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Blood,1,Laboratory,3-Hydroxypalmitoylcarnitine (C16-OH)|SCnc|Pt|ANYBldSerPlas,0
30234-9,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Serum or Plasma,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Serum or Plasma,1,Laboratory,3-Hydroxypalmitoylcarnitine (C16-OH)|SCnc|Pt|ANYBldSerPlas,0
49824-6,3-Hydroxypropionate (3-OH-C3)/Creatinine [Molar ratio] in 24 hour Urine,3-Hydroxypropionate (3-OH-C3)/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Hydroxypropionate/Creatinine|SRto|Urine,0
29515-4,3-Hydroxypropionate (3-OH-C3)/Creatinine [Molar ratio] in Urine,3-Hydroxypropionate (3-OH-C3)/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Hydroxypropionate/Creatinine|SRto|Urine,0
21043-5,3-Methoxy-4-Hydroxyphenylglycol [Mass/volume] in 24 hour Urine,3-Methoxy-4-Hydroxyphenylglycol [Mass/volume] in 24 hour Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|MCnc|Urine,0
1684-0,3-Methoxy-4-Hydroxyphenylglycol [Mass/volume] in Urine,3-Methoxy-4-Hydroxyphenylglycol [Mass/volume] in Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|MCnc|Urine,0
53496-6,3-Methoxy-4-Hydroxyphenylglycol [Moles/volume] in 24 hour Urine,3-Methoxy-4-Hydroxyphenylglycol [Moles/volume] in 24 hour Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|SCnc|Urine,0
50136-1,3-Methoxy-4-Hydroxyphenylglycol [Moles/volume] in Urine,3-Methoxy-4-Hydroxyphenylglycol [Moles/volume] in Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|SCnc|Urine,0
53098-0,3-Methoxy-4-Hydroxyphenylglycol [Moles/time] in 24 hour Urine,3-Methoxy-4-Hydroxyphenylglycol [Moles/time] in 24 hour Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|SRat|Urine,0
50137-9,3-Methoxy-4-Hydroxyphenylglycol [Moles/time] in Urine,3-Methoxy-4-Hydroxyphenylglycol [Moles/time] in Urine,1,Laboratory,3-Methoxy-4-Hydroxyphenylglycol|SRat|Urine,0
48381-8,3-Methoxytyramine/Creatinine [Molar ratio] in 24 hour Urine,3-Methoxytyramine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Methoxytyramine/Creatinine|SRto|Urine,0
80156-3,3-Methoxytyramine/Creatinine [Molar ratio] in Urine,3-Methoxytyramine/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Methoxytyramine/Creatinine|SRto|Urine,0
44285-5,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in 24 hour Urine,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,3-Methylcrotonylglycine/Creatinine|MRto|Urine,0
13691-1,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in Urine,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in Urine,1,Laboratory,3-Methylcrotonylglycine/Creatinine|MRto|Urine,0
40927-6,3-Methylcrotonylglycine [Moles/volume] in Blood,3-Methylcrotonylglycine [Moles/volume] in Blood,1,Laboratory,3-Methylcrotonylglycine|SCnc|Pt|ANYBldSerPlas,0
41039-9,3-Methylcrotonylglycine [Moles/volume] in Serum or Plasma,3-Methylcrotonylglycine [Moles/volume] in Serum or Plasma,1,Laboratory,3-Methylcrotonylglycine|SCnc|Pt|ANYBldSerPlas,0
44286-3,3-Methylhistidine/Creatinine [Mass Ratio] in 24 hour Urine,3-Methylhistidine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,3-Methylhistidine/Creatinine|MRto|Urine,0
13694-5,3-Methylhistidine/Creatinine [Mass Ratio] in Urine,3-Methylhistidine/Creatinine [Mass Ratio] in Urine,1,Laboratory,3-Methylhistidine/Creatinine|MRto|Urine,0
56667-9,3-Methylhistidine/Creatinine [Ratio] in 24 hour Urine,3-Methylhistidine/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,3-Methylhistidine/Creatinine|Ratio|Urine,0
28594-0,3-Methylhistidine/Creatinine [Ratio] in Urine,3-Methylhistidine/Creatinine [Ratio] in Urine,1,Laboratory,3-Methylhistidine/Creatinine|Ratio|Urine,0
25857-4,3-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,3-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,3-Methylhistidine/Creatinine|SRto|Urine,0
26575-1,3-Methylhistidine/Creatinine [Molar ratio] in Urine,3-Methylhistidine/Creatinine [Molar ratio] in Urine,1,Laboratory,3-Methylhistidine/Creatinine|SRto|Urine,0
17860-8,3-Methylhistidine [Mass/volume] in 24 hour Urine,3-Methylhistidine [Mass/volume] in 24 hour Urine,1,Laboratory,3-Methylhistidine|MCnc|Urine,0
1687-3,3-Methylhistidine [Mass/volume] in Urine,3-Methylhistidine [Mass/volume] in Urine,1,Laboratory,3-Methylhistidine|MCnc|Urine,0
25856-6,3-Methylhistidine [Moles/volume] in 24 hour Urine,3-Methylhistidine [Moles/volume] in 24 hour Urine,1,Laboratory,3-Methylhistidine|SCnc|Urine,0
27046-2,3-Methylhistidine [Moles/volume] in Urine,3-Methylhistidine [Moles/volume] in Urine,1,Laboratory,3-Methylhistidine|SCnc|Urine,0
59346-7,4-Hydroxy-Tamoxifen [Mass/volume] in Blood,4-Hydroxy-Tamoxifen [Mass/volume] in Blood,1,Laboratory,4-Hydroxy-Tamoxifen|MCnc|Pt|ANYBldSerPlas,0
59350-9,4-Hydroxy-Tamoxifen [Mass/volume] in Serum or Plasma,4-Hydroxy-Tamoxifen [Mass/volume] in Serum or Plasma,1,Laboratory,4-Hydroxy-Tamoxifen|MCnc|Pt|ANYBldSerPlas,0
44287-1,5-Hydroxyhexanoate/Creatinine [Mass Ratio] in 24 hour Urine,5-Hydroxyhexanoate/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,5-Hydroxyhexanoate/Creatinine|MRto|Urine,0
13699-4,5-Hydroxyhexanoate/Creatinine [Mass Ratio] in Urine,5-Hydroxyhexanoate/Creatinine [Mass Ratio] in Urine,1,Laboratory,5-Hydroxyhexanoate/Creatinine|MRto|Urine,0
44288-9,5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in 24 hour Urine,5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,5-Hydroxyindoleacetate/Creatinine|MRto|Urine,0
11145-0,5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in Urine,5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in Urine,1,Laboratory,5-Hydroxyindoleacetate/Creatinine|MRto|Urine,0
47545-9,5-Hydroxyindoleacetate/Creatinine [Molar ratio] in 24 hour Urine,5-Hydroxyindoleacetate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,5-Hydroxyindoleacetate/Creatinine|SRto|Urine,0
29520-4,5-Hydroxyindoleacetate/Creatinine [Molar ratio] in Urine,5-Hydroxyindoleacetate/Creatinine [Molar ratio] in Urine,1,Laboratory,5-Hydroxyindoleacetate/Creatinine|SRto|Urine,0
31203-3,5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine,5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine,1,Laboratory,5-Hydroxyindoleacetate|MCnc|Urine,0
1694-9,5-Hydroxyindoleacetate [Mass/volume] in Urine,5-Hydroxyindoleacetate [Mass/volume] in Urine,1,Laboratory,5-Hydroxyindoleacetate|MCnc|Urine,0
12172-3,5-Hydroxyindoleacetate [Presence] in 24 hour Urine,5-Hydroxyindoleacetate [Presence] in 24 hour Urine,1,Laboratory,5-Hydroxyindoleacetate|PrThr|Urine,0
48168-9,5-Hydroxyindoleacetate [Presence] in Urine,5-Hydroxyindoleacetate [Presence] in Urine,1,Laboratory,5-Hydroxyindoleacetate|PrThr|Urine,0
25971-3,5-Hydroxyindoleacetate [Moles/volume] in 24 hour Urine,5-Hydroxyindoleacetate [Moles/volume] in 24 hour Urine,1,Laboratory,5-Hydroxyindoleacetate|SCnc|Urine,0
15009-4,5-Hydroxyindoleacetate [Moles/volume] in Urine,5-Hydroxyindoleacetate [Moles/volume] in Urine,1,Laboratory,5-Hydroxyindoleacetate|SCnc|Urine,0
43633-7,5-Oxoproline [Presence] in 24 hour Urine,5-Oxoproline [Presence] in 24 hour Urine,1,Laboratory,5-Oxoproline|PrThr|Urine,0
29872-9,5-Oxoproline [Presence] in Urine,5-Oxoproline [Presence] in Urine,1,Laboratory,5-Oxoproline|PrThr|Urine,0
82526-5,6-Beta naltrexol [Mass/volume] in Serum or Plasma,6-Beta naltrexol [Mass/volume] in Serum or Plasma,1,Laboratory,6-Beta naltrexol|ANYProp|ANYTm|ANYSys|ANYMeth,0
82524-0,6-Beta naltrexol [Mass/volume] in Urine by Confirmatory method,6-Beta naltrexol [Mass/volume] in Urine by Confirmatory method,1,Laboratory,6-Beta naltrexol|ANYProp|ANYTm|ANYSys|ANYMeth,0
73941-7,6-monoacetylmorphine free [Mass/volume] in Blood,6-monoacetylmorphine free [Mass/volume] in Blood,1,Laboratory,6-Monoacetylmorphine.free|MCnc|Pt|ANYBldSerPlas,0
49749-5,6-monoacetylmorphine free [Mass/volume] in Serum or Plasma,6-monoacetylmorphine free [Mass/volume] in Serum or Plasma,1,Laboratory,6-Monoacetylmorphine.free|MCnc|Pt|ANYBldSerPlas,0
26721-1,6-Monoacetylmorphine (6-MAM) [Mass/mass] in Hair,6-Monoacetylmorphine (6-MAM) [Mass/mass] in Hair,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
29345-6,6-Monoacetylmorphine (6-MAM) [Mass/mass] in Meconium,6-Monoacetylmorphine (6-MAM) [Mass/mass] in Meconium,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
80115-9,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Blood by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Blood by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
80116-7,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Body fluid by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Body fluid by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
57300-6,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Saliva (oral fluid),6-Monoacetylmorphine (6-MAM) [Mass/volume] in Saliva (oral fluid),1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
72763-6,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Saliva (oral fluid) by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
12788-6,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Serum or Plasma,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Serum or Plasma,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
74130-6,"6-Monoacetylmorphine (6-MAM) [Mass/volume] in Serum, Plasma or Blood","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Serum, Plasma or Blood",1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
10975-1,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
19593-3,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
55520-1,6-Monoacetylmorphine (6-MAM) [Moles/volume] in Urine,6-Monoacetylmorphine (6-MAM) [Moles/volume] in Urine,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
70197-9,6-Monoacetylmorphine (6-MAM) [Moles/volume] in Urine by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Moles/volume] in Urine by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
78759-8,6-Monoacetylmorphine (6-MAM) [Presence] in Blood by Screen method,6-Monoacetylmorphine (6-MAM) [Presence] in Blood by Screen method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
78760-6,6-Monoacetylmorphine (6-MAM) [Presence] in Body fluid by Screen method,6-Monoacetylmorphine (6-MAM) [Presence] in Body fluid by Screen method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
14843-7,6-Monoacetylmorphine (6-MAM) [Presence] in Gastric fluid,6-Monoacetylmorphine (6-MAM) [Presence] in Gastric fluid,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
74677-6,6-Monoacetylmorphine (6-MAM) [Presence] in Saliva (oral fluid) by Confirmatory method,6-Monoacetylmorphine (6-MAM) [Presence] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,6-Monoacetylmorphine|ANYProp|ANYTm|ANYSys|ANYMeth,0
